construction,model,n_train,n_test,prevalence,roc_auc,pr_auc,brier_score
majority_all,sequence_only,13978,4061,0.29253878355084956,0.525222640607256,0.3239886973767412,0.22721881129716512
majority_all,sequence_plus_all_no_evidence,13978,4061,0.29253878355084956,0.5288259377625893,0.3626725330747317,0.31279819080958193
majority_excluding_ties,sequence_only,13672,3802,0.31246712256707,0.5274047217907203,0.3452273563091604,0.2317284925339318
majority_excluding_ties,sequence_plus_all_no_evidence,13672,3802,0.31246712256707,0.5354800877945484,0.38211731240944735,0.3119407523681545
consistent_labels_only,sequence_only,13501,3615,0.3062240663900415,0.5254227123610948,0.3404510640484527,0.23097191203478054
consistent_labels_only,sequence_plus_all_no_evidence,13501,3615,0.3062240663900415,0.5451030055223466,0.3833213991630602,0.3088226570152889
