design,model,selected_seed,selection_score,n_groups,largest_group,n_train,n_test,test_prevalence,shared_pmids,edit2_group_overlap,roc_auc,pr_auc,normalized_pr_auc,brier_score,precision_at_20,precision_at_100
pmid_disjoint,elastic_logistic,2742,0.0012450033622734558,295,2179,7733,1935,0.09095607235142118,0,19,0.5312742260581942,0.11649118499247668,1.2807411531843318,0.20844280490673742,0.15,0.16
pmid_disjoint,random_forest,2742,0.0012450033622734558,295,2179,7733,1935,0.09095607235142118,0,19,0.5404607473254432,0.14111900777461844,1.551507272976629,0.10336711111111113,0.4,0.22
pmid_disjoint,xgboost,2742,0.0012450033622734558,295,2179,7733,1935,0.09095607235142118,0,19,0.5230260607783347,0.0947421547834858,1.0416253949207104,0.3506689667701721,0.1,0.11
pmid_and_edit2_disjoint,elastic_logistic,2937,0.004001050430994316,261,2179,7701,1967,0.09150991357397051,0,0,0.6002797985450475,0.1357969531454118,1.4839589268723612,0.16051336998850663,0.25,0.17
pmid_and_edit2_disjoint,random_forest,2937,0.004001050430994316,261,2179,7701,1967,0.09150991357397051,0,0,0.6903858111048934,0.206867502685954,2.2606020987959528,0.09328429893238434,0.5,0.26
pmid_and_edit2_disjoint,xgboost,2937,0.004001050430994316,261,2179,7701,1967,0.09150991357397051,0,0,0.594343406080955,0.1163024106255213,1.2709268983355577,0.28914421796798706,0.2,0.12
