construction,difference_context_minus_sequence,ci_low,ci_high,replicates
consistent_labels_only,0.04287033511460747,0.01718592744499041,0.06830295677392287,2000
majority_all,0.0386838356979905,0.0162920299875846,0.060907034810851864,2000
majority_excluding_ties,0.03688995610028695,0.012890866301278416,0.0598990152951752,2000
