split,model,full_fit_seconds,test_inference_seconds,serialized_model_bytes
exact,elastic_logistic,0.0777579169953242,0.0006730419991072,286492
exact,random_forest,5.235570792006911,0.2196617500012507,41087362
exact,xgboost,43.64360962499632,0.0902779580064816,421030
exact,stacked_ensemble,102.58872529100336,,632
cluster,elastic_logistic,0.0796842909912811,0.0004264170129317,252522
cluster,random_forest,3.8015817499981495,0.1590946670039557,41177162
cluster,xgboost,16.98429350000515,0.0252206250006565,400314
cluster,stacked_ensemble,63.92714574999991,,636
temporal,elastic_logistic,0.048630959005095,0.0004707920015789,290317
temporal,random_forest,4.000305458001094,0.1921495419956045,37778010
temporal,xgboost,21.6053627920046,0.0276972919964464,409631
temporal,stacked_ensemble,69.22381012501137,,632
