split,calibration,n_fit,n_calibration,n_test,roc_auc,pr_auc,brier_score,ece_10_equal_width
exact,uncalibrated,6192,1542,1934,0.7923619820327098,0.3988338269465422,0.1068706346040609,0.1705221638307201
exact,platt,6192,1542,1934,0.7923619820327098,0.3988338269465422,0.0704655315372884,0.018100373642771
cluster,uncalibrated,6188,1547,1933,0.7754889721181856,0.2700315774003372,0.1124626475446292,0.1734988600036033
cluster,platt,6188,1547,1933,0.7754889721181856,0.2700315774003372,0.0764396383993232,0.023607588534741
temporal,uncalibrated,6186,1546,1935,0.5674827810266407,0.140158938907669,0.1794363721115205,0.2317646364675748
temporal,platt,6186,1546,1935,0.5674827810266407,0.140158938907669,0.1076235130673144,0.0601556036985398
