construction,split,pr_auc,difference_a_minus_b,ci_low,ci_high
majority_all,exact,0.7707108934914234,0.2361183142315691,0.2054477125415111,0.2662543393482819
majority_all,cluster,0.7547388080254074,0.2543516900764689,0.217641303052619,0.292937442474642
majority_all,temporal,0.4873609602811569,0.0472499690096845,0.0224211374438576,0.0724680148983704
majority_excluding_ties,exact,0.787705771343419,0.2315921907242432,0.2011006500902618,0.2630461249972299
majority_excluding_ties,cluster,0.7784868372404917,0.2591913933595264,0.2211509662972695,0.2977822762417927
majority_excluding_ties,temporal,0.5268282819036959,0.059899843678662,0.0331901725482829,0.0853829258268331
consistent_labels_only,exact,0.791355286459114,0.2353163094002048,0.2030947091404027,0.2671234793060521
consistent_labels_only,cluster,0.7823002074214704,0.2716429331695614,0.2335108921652622,0.3115458291374063
consistent_labels_only,temporal,0.5283682119551344,0.0656431692653108,0.0350891994506711,0.0936963188607018
