split,model,candidate_id,parameters_json,mean_group_cv_pr_auc,std_group_cv_pr_auc,fold_pr_auc_json,search_seconds
temporal,elastic_logistic,4,"{""alpha"": 0.0001, ""l1_ratio"": 0.5}",0.20435292618878242,0.011058615188656598,"[0.19353706906356705, 0.21563928106086974, 0.20388242844191057]",0.0809639170038281
temporal,elastic_logistic,5,"{""alpha"": 0.0001, ""l1_ratio"": 0.85}",0.18262820275138134,0.005382523070639788,"[0.17969294918777365, 0.18884027570676176, 0.17935138335960848]",0.09565904100600164
temporal,elastic_logistic,6,"{""alpha"": 0.001, ""l1_ratio"": 0.15}",0.16499253202671607,0.011357263831392512,"[0.17071823642659062, 0.15191206398061394, 0.17234729567294368]",0.10925491699890699
temporal,elastic_logistic,7,"{""alpha"": 0.001, ""l1_ratio"": 0.5}",0.13754062947944665,0.020352244030825473,"[0.15817172018558845, 0.11747919220739352, 0.13697097604535802]",0.06025916700309608
temporal,elastic_logistic,8,"{""alpha"": 0.001, ""l1_ratio"": 0.85}",0.11836528777526344,0.015222721686715344,"[0.13593162489677024, 0.11012902473777036, 0.1090352136912497]",0.05660050000005867
temporal,random_forest,0,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",0.3367004659065355,0.03655949890561917,"[0.3555034053648086, 0.36003176356768163, 0.2945662287871162]",9.1479148750077
temporal,random_forest,1,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 3}",0.25113166078542254,0.013862427386767963,"[0.24770698276726255, 0.2663854390978913, 0.23930256049111368]",6.020826290987316
temporal,random_forest,2,"{""max_features"": ""log2"", ""min_samples_leaf"": 1}",0.3745572722834425,0.053814784722717716,"[0.41581050523854685, 0.3941756447214855, 0.31368566689029526]",7.179591916996287
temporal,random_forest,3,"{""max_features"": ""log2"", ""min_samples_leaf"": 3}",0.2713433273937252,0.00935588453880544,"[0.2673295804175257, 0.2646640077046187, 0.2820363940590313]",5.55283674999373
temporal,xgboost,0,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 1}",0.2482338619458311,0.018863745583866446,"[0.2595377902165684, 0.22645717140378008, 0.25870662421714485]",18.159866583999246
temporal,xgboost,1,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1}",0.2582430937032216,0.022148836190196218,"[0.2817170677024414, 0.25529816863999005, 0.2377140447672335]",17.577733874990372
temporal,xgboost,2,"{""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 1}",0.2687834164615332,0.024986220019561925,"[0.29237412500096804, 0.2426033465595367, 0.2713727778240948]",34.07539004199498
temporal,xgboost,3,"{""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1}",0.2559686242909924,0.02452913420565338,"[0.2798467953851234, 0.2572224585791455, 0.2308366189087081]",30.22914416700951
