construction,split,model,metric,point_estimate,ci_low,ci_high,resampling_unit,replicates
majority_excluding_ties,exact,all_context_no_sequence_no_evidence,pr_auc,0.7682148571895498,0.7419260739829694,0.7922306864641754,peptide,2000
majority_excluding_ties,exact,assay_only,pr_auc,0.40603031780144067,0.38069259060878613,0.431813445536885,peptide,2000
majority_excluding_ties,exact,biological_only,pr_auc,0.7583230031729227,0.732515637424583,0.7828391850407924,peptide,2000
majority_excluding_ties,exact,sequence_only,pr_auc,0.5561135806191758,0.5207033973983506,0.5912163556671223,peptide,2000
majority_excluding_ties,exact,sequence_plus_all_no_evidence,pr_auc,0.787705771343419,0.7628138828325818,0.8120228716806192,peptide,2000
majority_excluding_ties,exact,sequence_plus_assay,pr_auc,0.6201695656570702,0.5859285703597936,0.6525817922791828,peptide,2000
majority_excluding_ties,exact,sequence_plus_biological,pr_auc,0.7823776462793021,0.7583570282104745,0.8062910269777127,peptide,2000
majority_excluding_ties,temporal,all_context_no_sequence_no_evidence,pr_auc,0.48906736301970993,0.45952503878979906,0.5180032675377921,peptide,2000
majority_excluding_ties,temporal,assay_only,pr_auc,0.3351913265066691,0.31542654031829975,0.3544768203535059,peptide,2000
majority_excluding_ties,temporal,biological_only,pr_auc,0.3956929083256536,0.3715310456373811,0.4208606189143509,peptide,2000
majority_excluding_ties,temporal,sequence_only,pr_auc,0.4669284382250339,0.43615025039635164,0.49756564975685186,peptide,2000
majority_excluding_ties,temporal,sequence_plus_all_no_evidence,pr_auc,0.5268282819036959,0.49615986238143467,0.5560495367445704,peptide,2000
majority_excluding_ties,temporal,sequence_plus_assay,pr_auc,0.49901100133421783,0.4673557690867898,0.5293237556172529,peptide,2000
majority_excluding_ties,temporal,sequence_plus_biological,pr_auc,0.457196649059186,0.4280937643122524,0.4869146458712347,peptide,2000
