split,status,n_fit,n_calibration,n_test,prevalence,roc_auc,pr_auc,brier_score,null_brier_score,brier_skill_score,ece_equal_width_10,ece_equal_frequency_10,mean_probability
exact,uncalibrated,6192,1542,1934,0.09203722854188211,0.7925923319085766,0.39887358967326997,0.10691719986640308,0.08356637710421147,-0.2794284444456885,0.17047348473486237,0.1686373340345654,0.26067456257644755
exact,platt,6192,1542,1934,0.09203722854188211,0.7925923319085766,0.39887358967326997,0.07049111327161864,0.08356637710421147,0.15646560597316939,0.019467346995368538,0.02888241775187238,0.09312802793558671
cluster,uncalibrated,6188,1547,1933,0.09208484221417486,0.7746566791510611,0.26837164843392625,0.11250777290823938,0.08360522404856538,-0.3457026661741236,0.17361557646188103,0.17277501613833418,0.264859858352509
cluster,platt,6188,1547,1933,0.09208484221417486,0.7746566791510611,0.26837164843392625,0.07648060659233075,0.08360522404856538,0.08521737172902044,0.02377614742536713,0.034153771870563586,0.08892612336646838
temporal,uncalibrated,6186,1546,1935,0.11627906976744186,0.5679740090968161,0.14026989165761616,0.17928122663147358,0.10275824770146025,-0.7446894107452351,0.2308104772572678,0.22969806334295936,0.3326602223753774
temporal,platt,6186,1546,1935,0.11627906976744186,0.5679740090968161,0.14026989165761616,0.10757047813485841,0.10275824770146025,-0.04683060037554321,0.05976548082723717,0.05772500517775593,0.12345899033065576
