analysis,model,n_train,n_test,test_prevalence,roc_auc,pr_auc,brier_score,precision_at_20,enrichment_at_20,precision_at_50,enrichment_at_50,precision_at_100,enrichment_at_100,precision_at_200,enrichment_at_200,precision_at_500,enrichment_at_500
strict_temporal_latest_before_2021,sequence_only,13978,4061,0.29253878355084956,0.525222640607256,0.3239886973767412,0.22721881129716512,0.5,1.7091750841750841,0.42,1.4357070707070705,0.36,1.2306060606060605,0.39,1.3331565656565656,0.368,1.257952861952862
strict_temporal_latest_before_2021,biological_only,13978,4061,0.29253878355084956,0.40096272505774777,0.2858794950367588,0.3698777300801089,0.6,2.051010101010101,0.36,1.2306060606060605,0.26,0.8887710437710438,0.265,0.9058627946127946,0.406,1.3878501683501683
strict_temporal_latest_before_2021,assay_only,13978,4061,0.29253878355084956,0.47662610558538165,0.3183160275578958,0.2581597535973957,0.8,2.7346801346801346,0.62,2.1193771043771044,0.69,2.358661616161616,0.675,2.307386363636364,0.392,1.339993265993266
strict_temporal_latest_before_2021,sequence_plus_biological,13978,4061,0.29253878355084956,0.4331317877697968,0.28074533972705773,0.3376348300368544,0.35,1.1964225589225588,0.38,1.298973063973064,0.34,1.1622390572390573,0.305,1.0425968013468012,0.37,1.2647895622895622
strict_temporal_latest_before_2021,sequence_plus_assay,13978,4061,0.29253878355084956,0.5538152144486986,0.38602719808321384,0.22508651372704036,0.8,2.7346801346801346,0.68,2.3244781144781146,0.69,2.358661616161616,0.625,2.136468855218855,0.472,1.6134612794612793
strict_temporal_latest_before_2021,sequence_plus_all_no_evidence,13978,4061,0.29253878355084956,0.5288259377625893,0.3626725330747317,0.31279819080958193,0.7,2.3928451178451176,0.46,1.5724410774410775,0.47,1.606624579124579,0.42,1.4357070707070705,0.48,1.6408080808080807
strict_temporal_latest_before_2021,all_context_no_sequence_no_evidence,13978,4061,0.29253878355084956,0.5193387348364723,0.35673801563020824,0.3435924362586214,0.5,1.7091750841750841,0.46,1.5724410774410775,0.35,1.1964225589225588,0.305,1.0425968013468012,0.488,1.668154882154882
