split,model,metric,point_estimate,ci_low,ci_high,bootstrap_replicates,resampling_unit
cluster,all_context_no_sequence_no_evidence,pr_auc,0.749445724503107,0.7221769574430005,0.7770253417614057,2000,edit_distance_2_cluster
cluster,all_context_no_sequence_no_evidence,roc_auc,0.8758647935281254,0.8636345352925363,0.8885489656370273,2000,edit_distance_2_cluster
cluster,assay_only,pr_auc,0.38511549686034224,0.35710781598986263,0.41347640153069637,2000,edit_distance_2_cluster
cluster,assay_only,roc_auc,0.5841916738663654,0.5654473659396805,0.602984919225727,2000,edit_distance_2_cluster
cluster,biological_only,pr_auc,0.748791711481248,0.7208562725639214,0.7759394877487781,2000,edit_distance_2_cluster
cluster,biological_only,roc_auc,0.866810596112937,0.853531057824329,0.8801641694646555,2000,edit_distance_2_cluster
cluster,evidence_only,pr_auc,0.32108531601845147,0.29488890379789146,0.3472882254868742,2000,edit_distance_2_cluster
cluster,evidence_only,roc_auc,0.5186302577621235,0.5045707527793287,0.5334407892943687,2000,edit_distance_2_cluster
cluster,sequence_only,pr_auc,0.5003871179489384,0.45438321590301567,0.5454801193223713,2000,edit_distance_2_cluster
cluster,sequence_only,roc_auc,0.7001584947780519,0.6754931322712668,0.7255435555318502,2000,edit_distance_2_cluster
cluster,sequence_plus_all_no_evidence,pr_auc,0.7547388080254074,0.7249046983674372,0.7846834463656132,2000,edit_distance_2_cluster
cluster,sequence_plus_all_no_evidence,roc_auc,0.8842786233659634,0.8716204167875526,0.8965006701847108,2000,edit_distance_2_cluster
cluster,sequence_plus_all_with_evidence,pr_auc,0.7546875325999793,0.7248120095171637,0.7844254393507387,2000,edit_distance_2_cluster
cluster,sequence_plus_all_with_evidence,roc_auc,0.8841361965456932,0.8716186297118429,0.8963841819834698,2000,edit_distance_2_cluster
cluster,sequence_plus_assay,pr_auc,0.5620509519839078,0.5198776897292916,0.6049803241809285,2000,edit_distance_2_cluster
cluster,sequence_plus_assay,roc_auc,0.7440851386048034,0.7213911847914912,0.7675428289260889,2000,edit_distance_2_cluster
cluster,sequence_plus_biological,pr_auc,0.7504544281668103,0.7207570297995164,0.7791927497717637,2000,edit_distance_2_cluster
cluster,sequence_plus_biological,roc_auc,0.8729912287203268,0.8598415698807906,0.885567069851308,2000,edit_distance_2_cluster
exact,all_context_no_sequence_no_evidence,pr_auc,0.7548639340813297,0.7296690945676313,0.779889506002917,2000,peptide
exact,all_context_no_sequence_no_evidence,roc_auc,0.8802608425286443,0.8693510844511491,0.8909767693521266,2000,peptide
exact,assay_only,pr_auc,0.3973027230443482,0.3730278473823216,0.4214870602858286,2000,peptide
exact,assay_only,roc_auc,0.5846157429458513,0.5674087748200907,0.6010664859369315,2000,peptide
exact,biological_only,pr_auc,0.7452426442858983,0.7205064097201991,0.7696720916406266,2000,peptide
exact,biological_only,roc_auc,0.871551758355164,0.8596886010422633,0.8832643059581868,2000,peptide
exact,evidence_only,pr_auc,0.32059230380397225,0.29998348821758086,0.34168489696279164,2000,peptide
exact,evidence_only,roc_auc,0.5175484076896615,0.5060886822690992,0.5294345353678809,2000,peptide
exact,sequence_only,pr_auc,0.5345925792598543,0.5020192800354158,0.5674773618266535,2000,peptide
exact,sequence_only,roc_auc,0.724429951355261,0.703160734364731,0.7444278314438141,2000,peptide
exact,sequence_plus_all_no_evidence,pr_auc,0.7707108934914234,0.7458679232573537,0.7945697890204034,2000,peptide
exact,sequence_plus_all_no_evidence,roc_auc,0.8922618811357202,0.8818071647955416,0.9025387462963083,2000,peptide
exact,sequence_plus_all_with_evidence,pr_auc,0.7707410220487149,0.7459303122517226,0.794596961386599,2000,peptide
exact,sequence_plus_all_with_evidence,roc_auc,0.892269599022695,0.8817956909409717,0.9025680524597982,2000,peptide
exact,sequence_plus_assay,pr_auc,0.6023629425687329,0.5714469937138591,0.632494083764395,2000,peptide
exact,sequence_plus_assay,roc_auc,0.7615692503947148,0.7420907512419117,0.7800365506272658,2000,peptide
exact,sequence_plus_biological,pr_auc,0.763573780561308,0.7393096233816452,0.7870624700288751,2000,peptide
exact,sequence_plus_biological,roc_auc,0.8831645596835225,0.8720773341434132,0.8941400782758663,2000,peptide
temporal,all_context_no_sequence_no_evidence,pr_auc,0.45771930521359294,0.42713215809237237,0.4896977850832824,2000,peptide
temporal,all_context_no_sequence_no_evidence,roc_auc,0.5668333468107223,0.5437592308984182,0.5897871091524902,2000,peptide
temporal,assay_only,pr_auc,0.3183160275578958,0.2999927363902203,0.3398575916998856,2000,peptide
temporal,assay_only,roc_auc,0.47662610558538165,0.4582329517365274,0.49467455941116656,2000,peptide
temporal,biological_only,pr_auc,0.3873367666749686,0.362891364715862,0.4132249228023717,2000,peptide
temporal,biological_only,roc_auc,0.6176937902051025,0.5978242659344242,0.6370667618627655,2000,peptide
temporal,evidence_only,pr_auc,0.3199118966617534,0.3008979355283226,0.3398854107041483,2000,peptide
temporal,evidence_only,roc_auc,0.5215671918160606,0.5064132714210526,0.5356483815971673,2000,peptide
temporal,sequence_only,pr_auc,0.4401109912714723,0.41043698908706266,0.47102013338874454,2000,peptide
temporal,sequence_only,roc_auc,0.6321311502306978,0.6129064916493663,0.6507612717737625,2000,peptide
temporal,sequence_plus_all_no_evidence,pr_auc,0.4873609602811569,0.456441958297493,0.5186073287418239,2000,peptide
temporal,sequence_plus_all_no_evidence,roc_auc,0.6364746783298819,0.6164105267975221,0.6571915812960326,2000,peptide
temporal,sequence_plus_all_with_evidence,pr_auc,0.4871047672039151,0.45591380876814636,0.5185225964414957,2000,peptide
temporal,sequence_plus_all_with_evidence,roc_auc,0.6372393736647131,0.6171474420018486,0.6577178276441014,2000,peptide
temporal,sequence_plus_assay,pr_auc,0.4756237683036745,0.44575237767724357,0.5088234248309685,2000,peptide
temporal,sequence_plus_assay,roc_auc,0.6540913837293928,0.6343479843637776,0.6733536401991449,2000,peptide
temporal,sequence_plus_biological,pr_auc,0.4244296194458544,0.3966537618638979,0.4552923262582167,2000,peptide
temporal,sequence_plus_biological,roc_auc,0.6201397898230477,0.5995999577234886,0.639329831728707,2000,peptide
