split,model,n_train_rows,n_test_rows,n_train_peptides,n_test_peptides,test_positive_rate,roc_auc,pr_auc,brier_score,ece_10_equal_width,precision_at_20,enrichment_at_20,precision_at_50,enrichment_at_50,precision_at_100,enrichment_at_100,precision_at_200,enrichment_at_200,precision_at_500,enrichment_at_500
cluster,sequence_plus_all_with_evidence,16637,4148,13865,3467,0.3003857280617165,0.8841361965456932,0.7546875325999793,0.13334520146910447,0.08342079891786741,0.9,2.996147672552167,0.9,2.996147672552167,0.9,2.996147672552167,0.88,2.9295666131621187,0.854,2.843011235955056
cluster,all_context_no_sequence_no_evidence,16637,4148,13865,3467,0.3003857280617165,0.8758647935281254,0.749445724503107,0.14324948508461377,0.1102449020496227,0.95,3.1626003210272873,0.96,3.195890850722311,0.94,3.129309791332263,0.885,2.9462118780096307,0.838,2.789746388443018
temporal,sequence_only,16723,4061,13559,3772,0.29253878355084956,0.6321311502306978,0.4401109912714723,0.22534462647765832,0.1590375022770804,0.85,2.905597643097643,0.72,2.461212121212121,0.73,2.495395622895623,0.645,2.2048358585858585,0.504,1.7228484848484849
temporal,biological_only,16723,4061,13559,3772,0.29253878355084956,0.6176937902051025,0.3873367666749686,0.4148583063365974,0.46431133239545935,0.9,3.0765151515151516,0.6,2.051010101010101,0.47,1.606624579124579,0.51,1.7433585858585858,0.274,0.9366279461279462
temporal,assay_only,16723,4061,13559,3772,0.29253878355084956,0.47662610558538165,0.3183160275578958,0.24635392683012994,0.21282565294353856,0.8,2.7346801346801346,0.62,2.1193771043771044,0.69,2.358661616161616,0.675,2.307386363636364,0.392,1.339993265993266
temporal,evidence_only,16723,4061,13559,3772,0.29253878355084956,0.5215671918160606,0.3199118966617534,0.25311333900585226,0.21700503382078723,0.75,2.5637626262626263,0.56,1.9142760942760944,0.54,1.845909090909091,0.46,1.5724410774410775,0.35,1.1964225589225588
temporal,sequence_plus_biological,16723,4061,13559,3772,0.29253878355084956,0.6201397898230477,0.4244296194458544,0.37745303388359797,0.42122984905029753,0.85,2.905597643097643,0.74,2.5295791245791244,0.7,2.3928451178451176,0.605,2.0681018518518517,0.47,1.606624579124579
temporal,sequence_plus_assay,16723,4061,13559,3772,0.29253878355084956,0.6540913837293928,0.4756237683036745,0.21421754778214344,0.14179161460266645,0.8,2.7346801346801346,0.72,2.461212121212121,0.75,2.5637626262626263,0.69,2.358661616161616,0.586,2.0031531986531985
temporal,sequence_plus_all_no_evidence,16723,4061,13559,3772,0.29253878355084956,0.6364746783298819,0.4873609602811569,0.3266169096092922,0.35753679681624523,0.9,3.0765151515151516,0.76,2.597946127946128,0.7,2.3928451178451176,0.705,2.4099368686868683,0.646,2.2082542087542087
temporal,sequence_plus_all_with_evidence,16723,4061,13559,3772,0.29253878355084956,0.6372393736647131,0.4871047672039151,0.32766884471621477,0.3604469616987715,0.85,2.905597643097643,0.76,2.597946127946128,0.71,2.4270286195286195,0.71,2.4270286195286195,0.646,2.2082542087542087
temporal,all_context_no_sequence_no_evidence,16723,4061,13559,3772,0.29253878355084956,0.5668333468107223,0.45771930521359294,0.3634097643251789,0.40846729878672516,0.8,2.7346801346801346,0.66,2.256111111111111,0.62,2.1193771043771044,0.68,2.3244781144781146,0.674,2.3039680134680136
